最終通信日時,デバイス名,管理番号,物件名,環境,"状態
",Ver.,バッテリー,温度,音量,天気,気温,明るさ,バッテリー健全性,電流入出力,端末モデル,IMEI,ライセンス認証ステータス,再生チャンネル,ネットワーク,左上プレビュー表示,ネットワーク環境,オフライン率,SD録画保存日,SD録画保存日,設置完了日時,ブート日時,アプリ起動日時,初期設定日時
2019-11-17 18:52:26(2日前),001077,Z6-475,チュリスガーデン湘南野比,本番中,通信断絶,3.0.20,100%,26.2℃,20%,曇,17℃,50,良好,0,Lenovo TAB4 SIM,866423030610437,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,1%,2019-11-14,,2019-04-03 13:46:56(7ヶ月前),2019-11-17 12:21:42(2日前),2019-11-17 16:06:43(2日前),2019-03-18 13:52:45(8ヶ月前)
2019-11-17 22:05:33(2日前),001324,I1-292,コンポジット久が原,本番中,正常,3.0.20,100%,25.7℃,0%,,0℃,50,良好,0,Lenovo TAB4 SIM,866423030670985,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-14,,2019-04-05 15:08:02(7ヶ月前),2019-11-17 21:24:07(2日前),2019-11-17 21:28:00(2日前),2019-04-01 11:42:46(7ヶ月前)
2019-11-18 06:31:32(2日前),002110,SI2-116,大瀬館,本番中,正常,3.0.00,100%,25.7℃,0%,雨,11℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030789785,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,3%,2019-11-15,,2019-08-01 13:35:46(3ヶ月前),2019-11-17 13:51:40(2日前),2019-11-17 23:14:00(2日前),2019-06-27 13:12:04(4ヶ月前)
2019-11-18 12:21:56(1日前),001692,NS-67,サンリヤン愛宕1丁目レジオン,本番中,正常,3.0.20,100%,25℃,20%,雨,18℃,50,良好,0,Lenovo TAB4 SIM,866423030803461,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,3%,2019-11-15,,2019-07-01 15:28:04(4ヶ月前),2019-11-18 08:52:26(2日前),2019-11-18 11:43:30(1日前),2019-04-17 13:22:36(7ヶ月前)
2019-11-20 00:54:17(9時間前),010391,SI1-993,聖隷沼津病院,本番中,正常,3.0.26,100%,31.7℃,0%,,0℃,50,良好,0,Lenovo TAB4 SIM,866423030752122,不正,sample_channel,4G:1本,表示,通常,6%,2019-11-16,,2019-11-08 13:55:07(1週間前),2019-11-19 13:28:01(20時間前),2019-11-19 22:31:41(11時間前),2019-10-02 10:42:48(1ヶ月前)
2019-11-20 03:34:47(6時間前),010411,I1-250,南雪ヶ谷ハイデンス,本番中,正常,3.0.10,100%,25℃,0%,曇,12℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030735952,不正,sample_channel,4G:2本,表示,通常,5%,2019-11-17,,2019-10-15 10:50:35(1ヶ月前),2019-11-19 23:02:39(11時間前),2019-11-19 23:03:33(11時間前),2019-10-03 13:31:08(1ヶ月前)
2019-11-20 07:32:32(2時間前),000585,O-335,アーデン清澄白河,本番中,正常,3.0.20,95%,25℃,20%,曇,11℃,40,良好,流出 744mAh,Huawei T3 10,868355037428421,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,6%,2019-11-17,,2019-02-12 11:45:17(9ヶ月前),2019-11-18 16:28:46(1日前),2019-11-20 07:21:10(2時間前),2019-01-08 15:04:17(10ヶ月前)
2019-11-20 08:18:28(1時間前),010068,X2-744,多摩湖ふれあいセンター,本番中,正常,3.0.20,100%,25℃,40%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030749243,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-09-20 10:51:18(1ヶ月前),2019-11-19 18:12:30(15時間前),2019-11-19 22:03:00(12時間前),2019-07-12 13:20:39(4ヶ月前)
2019-11-20 08:21:36(1時間前),001747,J-679,TRADIS浅草橋,本番中,正常,3.0.20,100%,26.5℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030677568,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,14%,2019-11-17,,2019-07-04 15:48:54(4ヶ月前),2019-11-20 08:02:16(2時間前),2019-11-20 08:03:09(2時間前),2019-04-18 14:01:22(7ヶ月前)
2019-11-20 08:22:27(1時間前),001051,Z6-477,チュリスガーデン湘南野比,本番中,正常,3.0.20,100%,25.5℃,20%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030612094,正常,201909_mitsubachi-einekleine,3G:3本,表示,通常,46%,2019-11-17,,2019-04-04 11:04:39(7ヶ月前),2019-11-20 05:03:10(5時間前),2019-11-20 08:21:56(1時間前),2019-03-15 13:59:58(8ヶ月前)
