デバイス名,管理番号,物件名,端末モデル,IMEI,設置完了日時
010418,IB-651,ルドルフ,Lenovo TAB4 SIM,866423030712480,2019-11-15 11:01:27(4日前)
010085,HK7-077,カサ・パラシオン,Lenovo TAB4 SIM,866423030738113,2019-11-01 09:47:19(2週間前)
010039,ST3-623,エクラシア北本,Lenovo TAB4 SIM,866423030741869,2019-11-05 14:13:39(2週間前)
010049,L-83,アクセス新中野,Lenovo TAB4 SIM,866423030743501,2019-10-29 09:51:40(3週間前)
010109,N-585,特別養護老人ホーム青葉台さくら苑,Lenovo TAB4 SIM,866423030743576,2019-10-25 11:22:30(3週間前)
010368,C-252,ハニー堀留第2ビル,Lenovo TAB4 SIM,866423030744434,2019-11-13 14:46:37(6日前)
010366,H-930,マートルコート平井,Lenovo TAB4 SIM,866423030746157,2019-11-15 10:45:44(4日前)
010113,AN2-129,上林記念病院,Lenovo TAB4 SIM,866423030746173,2019-10-18 16:44:17(1ヶ月前)
010548,A1-180,アビテビル,Lenovo TAB4 SIM,866423030746462,2019-11-18 14:11:13(1日前)
010390,ST5-515,東松山ホームズセンチュリー21,Lenovo TAB4 SIM,866423030746736,2019-11-19 16:15:43(17時間前)
010550,ST2-903,ル・ヴィラージュ,Lenovo TAB4 SIM,866423030746900,2019-11-19 14:36:33(19時間前)
010008,X-590,コンフォート八王子,Lenovo TAB4 SIM,866423030748112,2019-11-12 10:32:03(1週間前)
010334,ST4-098,SKコート第6,Lenovo TAB4 SIM,866423030749268,2019-11-13 13:49:09(6日前)
010321,ST5-114,芝3丁目貸ビル,Lenovo TAB4 SIM,866423030749862,2019-11-13 14:46:33(6日前)
010527,IB-693,ヒルズみらい平,Lenovo TAB4 SIM,866423030750530,2019-11-13 16:18:20(6日前)
010662,Z6-855,ウェルネス宝寿,Lenovo TAB4 SIM,866423030750647,2019-11-18 16:05:48(1日前)
010079,GI-203,住宅型有料老人ホーム住ま居るメディカⅡ号館,Lenovo TAB4 SIM,866423030751280,2019-10-25 10:28:11(3週間前)
010065,H-36,株式会社極洋  西葛西寮,Lenovo TAB4 SIM,866423030752221,2019-10-30 14:25:38(2週間前)
010370,AN2-759,enshow quattro,Lenovo TAB4 SIM,866423030752924,2019-11-13 22:12:31(6日前)
010570,P-749,ハピネ文京根津,Lenovo TAB4 SIM,866423030759440,2019-11-18 16:09:23(1日前)
010572,C-243,麻業会館,Lenovo TAB4 SIM,866423030761818,2019-11-14 10:09:34(5日前)
010573,C-244,麻業会館,Lenovo TAB4 SIM,866423030762659,2019-11-14 11:08:59(5日前)
010582,HK7-060,ロイヤルシャトー西岡,Lenovo TAB4 SIM,866423030763426,2019-11-18 16:41:34(1日前)
001931,Y4-732,ビッグヴァンステイツ横浜大通り公園,Lenovo TAB4 SIM,866423030788696,2019-11-01 11:54:43(2週間前)
001999,FU-292,ビオラパラッツオ箱崎,Lenovo TAB4 SIM,866423030790593,2019-11-15 10:12:58(4日前)
010634,ST5-776,パークサイドビル,Lenovo TAB4 SIM,866423030878257,2019-11-18 19:11:53(1日前)
010652,IB-253,フォーライフヴィラ五軒町,Lenovo TAB4 SIM,866423030879834,2019-11-14 13:29:26(5日前)
010682,Y4-812,サカモトビル,Lenovo TAB4 SIM,866423030880287,2019-11-14 18:31:03(5日前)
010651,IB-261,フォーライフヴィラ大工町,Lenovo TAB4 SIM,866423030880493,2019-11-14 10:46:03(5日前)
010685,ST3-828,MOMO6(坂戸),Lenovo TAB4 SIM,866423030881053,2019-11-13 16:55:57(6日前)
010672,I-274,特別養護老人ホーム好日苑(本館),Lenovo TAB4 SIM,866423030881137,2019-11-15 14:51:38(4日前)
010613,A-194,レジデンシャルステージ東新宿,Lenovo TAB4 SIM,866423030881244,2019-11-18 10:48:16(1日前)
010674,I-269,特別養護老人ホーム  好日苑(新館),Lenovo TAB4 SIM,866423030881400,2019-11-15 15:57:36(4日前)
010684,KB-710,YKハイツ松の内,Lenovo TAB4 SIM,866423030881566,2019-11-18 11:42:45(1日前)
010673,I-276,特別養護老人ホーム好日苑(本館),Lenovo TAB4 SIM,866423030881616,2019-11-15 15:20:53(4日前)
010624,CB-198,グランドヒルズ,Lenovo TAB4 SIM,866423030886169,2019-11-18 10:26:35(1日前)
010660,D1-156,シャトレ恵比寿,Lenovo TAB4 SIM,866423030886821,2019-11-15 11:11:56(4日前)
010671,I-275,特別養護老人ホーム好日苑(本館),Lenovo TAB4 SIM,866423030887092,2019-11-15 13:55:34(4日前)
001852,H-865,カゲヤマハイツ,Lenovo TAB4 SIM,866423030921826,2019-11-15 14:49:31(4日前)
000190,ST5-088,浦和ホワイトビル,Huawei T3 10,868355032512237,2019-11-19 13:24:51(20時間前)
000191,ST4-921,リヴシティ武蔵浦和,Huawei T3 10,868355032512849,2019-11-19 14:04:15(20時間前)
000415,ST-115,イチカワビルⅢ,Huawei T3 10,868355037429742,2019-11-19 13:08:49(20時間前)
